Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1,"Weather resistance
  
",4.Dec.19,Yes,"For some reason every time, I was in the cold weather my phone wouldn_ work",0
5,"Legit, and great
  
",4.Dec.19,Yes,Phone works perfectly,0
5,"Great value phone.
  
",5.Dec.19,Yes,Great phone. Like new and arrived in a timely manner.,0
5,"It_ great
  
",5.Dec.19,Yes,I can_ tell it_ used!,1
4,"Good phone okay on price
  
",9.Dec.19,Yes,Had it for a month. It is a good phone. It froze a few times after putting my information in and had to _ownload my pictures when I clicked on them kinda weird. Smooth fast keeps battery far better than my 6 or 7 did. Feel like these phones are overpriced considering but it should last me a while.,0
5,"I love the phone
  
",10.Dec.19,Yes,Looks new! Works Great!,0
5,"black iPhone XR
  
",10.Dec.19,Yes,"not a scam! ordered this &amp; delivery was super fast for having to travel across the United States. a lot of people don_ realize refurbished phones don_ come with original Apple cord/headphones or SIM card, I thought that was obvious but looking at other reviews I guess not lol. Comes with a very long, I believe 10 foot charger, and charging block. in perfect condition, unlocked. high recommend",0
2,"No more  refurbished IPhones for me. I will buy new.
  
",11.Dec.19,Yes,I am having problems with making phone calls because the number don_ always work. Sometimes I have to press a number 3 times before I actually get the number.,2
5,"Looks new
  
",11.Dec.19,Yes,Works great looks like new,0
5,"Great apple sheep phone
  
",12.Dec.19,Yes,Great phone with horrible specs and a great price tag for apple sheeps. When you can get a better phone with Samsung...,0
5,"I_ Happy With My iPhone XR !
  
",13.Dec.19,Yes,"So far so good, phone came in brand spanking new condition. I was skeptical but I_ glad I purchased. Thanks Amazon!",0
5,"As a gift they were a hit.
  
",13.Dec.19,Yes,They looked like new.,0
1,"Don_ buy from MobileDEALz
  
",16.Dec.19,Yes,Bought phone as a gift and it was a stolen phone. Couldn_ use it. Went through a lot of trouble trying to return the phone.,0
4,"Love the XR
  
",16.Dec.19,Yes,I needed a new phone. I decided to get it and really like the phone. My first one the speaker didn_ work had to send back. Customer service was great and my second phone hasn_ given me any trouble.,0
5,"Product exactly as advertised
  
",16.Dec.19,Yes,"I was extremely skeptical buying a refurbished phone, but figured the XR is new enough to not have major repairs or damage so I went ahead and bought a red one. The phone came in 3 days from ChubbiesTech and I am not exaggerating but there is not a single scuff or mark anywhere on the phone. It is fully unlocked, I just had to go to Metro for a new SIM (could have used my current SIM but it would have cost $17.99 to change devices so I got a new one). All of the features seem to be working flawlessly. I honestly don't think this phone was ever used. It even has 9 months left of warranty through Apple. All in all I am very happy so far!",1
5,"10/10
  
",16.Dec.19,Yes,Phone came with screen protector on. Phone is as good as new. Super happy with this purchase.,0
5,"Great Product
  
",16.Dec.19,Yes,This product looks and works great,0
5,"I will buy refurbished phones again
  
",17.Dec.19,Yes,This was my first refurbished phone purchase.  It came to me like it was new!!,0
